SZ300263,3.39,7.83,23.95
SZ300264,-31.73,-9.07,23.16
SZ300265,0.79,1.57,7.01
SZ300266,-47.34,-10.77,2.74
SZ300267,0.85,4.23,9.74
SZ300268,,-37.93,-33.96
SZ300269,-2.49,-0.90,-18.91
SZ300270,-6.65,-106.18,-44.13
SZ300271,-2.21,-14.03,-1.93
SZ300272,5.65,9.85,7.23
SZ300273,-36.50,-233.95,-42.11
SZ300274,19.18,17.99,40.34
SZ300275,3.16,12.96,-4.16
SZ300276,1.12,2.73,-11.70
SZ300277,0.32,4.52,-3.79
SZ300278,0.14,0.26,-27.82
SZ300279,4.42,4.75,-13.70
SZ300280,0.69,0.70,-48.45
SZ300281,0.57,3.22,-2.59
SZ300282,-2.96,-23.98,15.78
SZ300283,-0.45,-0.80,28.53
SZ300285,4.93,17.39,10.29
SZ300286,6.92,23.30,1.54
SZ300287,-5.92,-32.22,-25.08
SZ300288,1.33,8.87,-17.49
SZ300289,-0.26,-2.21,-14.80
SZ300290,-3.40,-7.01,-7.01
SZ300291,-0.63,-26.16,-46.43
SZ300292,4.32,2.95,4.40
SZ300293,-1.95,-2.81,-12.92
SZ300294,2.97,22.37,12.51
SZ300295,-0.73,-19.05,-42.20
SZ300296,2.14,5.19,-3.33
SZ300297,,-1815.48,-71.84
SZ300298,5.26,8.04,6.12
SZ300299,-2.24,-7.34,64.35
SZ300300,3.14,7.18,5.43
SZ300301,-26.12,-25.44,-21.14
SZ300302,-1.74,-10.58,-31.09
SZ300303,3.29,7.39,18.90
SZ300304,7.09,22.57,6.95
SZ300305,-5.78,-26.10,-22.81
SZ300306,2.19,19.43,-5.38
SZ300307,3.32,9.56,-13.43
SZ300308,18.84,28.69,36.95
SZ300309,,-437.57,-13.92
SZ300310,-0.09,-0.25,-0.54
SZ300312,,-783.86,-40.81
SZ300313,,-18.10,-12.02
SZ300314,4.27,20.29,-5.48
SZ300315,0.98,13.35,-23.44
SZ300317,-0.93,-6.02,49.01
SZ300318,-1.36,-7.55,-17.03
SZ300319,3.19,8.41,23.61
SZ300320,4.56,6.27,20.66
SZ300321,1.33,4.29,1.41
SZ300322,3.40,3.48,48.50
SZ300323,-1.67,-4.56,33.94
SZ300324,-4.82,-15.07,7.81
SZ300325,10.04,20.71,-8.74
SZ300327,2.31,3.12,-0.20
SZ300328,-1.75,-3.88,-6.95
SZ300329,-3.46,-44.17,-32.43
SZ300330,-8.51,-32.70,258.00
SZ300331,1.98,3.44,5.27
SZ300332,1.62,4.82,-32.15
SZ300334,0.04,0.80,-19.07
SZ300335,2.63,13.48,6.54
SZ300336,-16.15,-99.42,-54.94
SZ300337,2.66,1.58,14.21
SZ300338,,-59.03,-22.60
SZ300339,1.71,3.29,10.55
